Temperature,Molar_ratio,Catalyst_conc,Reaction_time,FAME_yield
49.4,7.84,1.44,65,79.09
63.8,8.38,1.45,88,83.41
58.3,4.91,1.41,71,94.36
55.0,3.66,0.87,79,83.49
43.9,4.37,0.52,115,69.93
43.9,5.56,1.43,65,70.9
41.5,7.91,0.93,117,69.86
61.7,8.16,1.47,111,83.7
55.0,3.04,1.46,48,69.82
57.7,6.06,1.35,36,88.59
40.5,5.5,0.79,39,57.55
64.2,4.33,0.89,32,84.93
60.8,3.72,1.35,38,79.59
45.3,5.03,0.82,91,78.67
44.5,8.66,0.67,36,59.49
44.6,4.94,1.06,59,78.31
47.6,6.11,1.44,106,83.93
53.1,7.22,1.2,32,84.25
50.8,5.18,1.07,103,89.03
47.3,8.83,0.6,55,64.93
55.3,8.77,1.12,41,75.25
43.5,4.51,1.49,93,70.12
47.3,5.98,0.64,87,84.08
49.2,4.81,1.02,109,86.35
51.4,4.71,1.38,96,82.59
59.6,3.22,1.24,102,86.22
45.0,6.66,1.2,55,75.37
52.9,6.02,1.2,46,91.8
54.8,3.31,0.86,98,79.71
41.2,4.67,0.79,103,65.06
55.2,8.45,1.31,119,84.79
44.3,4.44,1.31,67,69.88
41.6,3.87,1.37,63,56.65
63.7,5.94,1.41,100,94.58
64.1,8.91,1.01,61,77.05
60.2,4.45,1.0,114,94.94
47.6,7.03,1.3,107,82.99
42.4,7.57,1.15,69,67.89
57.1,4.43,1.2,98,93.85
51.0,7.37,1.3,98,84.31
43.1,5.21,1.39,39,62.71
52.4,6.79,0.84,111,95.51
40.9,6.8,0.88,75,66.87
62.7,6.21,0.59,104,92.7
46.5,3.54,1.08,59,73.11
56.6,8.01,0.54,111,85.97
47.8,4.92,0.97,65,84.55
53.0,4.12,1.04,31,82.48
53.7,3.24,0.79,111,85.52
44.6,6.55,1.09,38,77.42
64.2,7.07,0.53,59,86.19
59.4,3.1,0.54,116,81.05
63.5,6.07,1.32,116,97.34
62.4,4.36,0.86,82,94.46
54.9,6.87,0.63,87,89.06
63.0,4.05,1.02,70,90.41
42.2,7.15,1.27,56,68.08
44.9,5.32,0.72,60,71.14
41.1,8.62,1.12,91,55.0
48.1,3.83,0.59,98,70.43
49.7,5.05,0.55,101,83.15
46.8,3.68,1.03,101,76.55
60.7,8.55,1.04,38,84.81
48.9,8.26,1.14,74,77.61
47.0,4.55,1.23,35,77.92
53.6,6.96,1.48,79,83.96
43.5,7.9,1.02,70,64.96
60.1,6.33,0.82,110,98.0
41.9,6.18,1.3,62,68.15
64.7,4.45,0.77,41,86.4
59.3,3.56,0.94,43,79.1
45.0,8.38,0.58,99,65.72
40.1,8.4,0.53,86,55.0
60.4,6.8,1.46,39,88.5
57.7,5.03,1.34,38,89.29
58.2,5.1,1.2,93,93.73
59.3,7.36,0.91,37,88.79
41.9,8.38,0.67,104,57.62
49.0,8.32,0.66,94,75.79
42.9,7.68,0.75,37,65.34
61.6,6.85,1.05,38,89.97
55.6,3.5,1.21,119,86.9
48.3,3.97,1.16,64,75.99
41.6,8.39,0.78,63,55.87
47.8,6.64,1.45,103,80.84
48.1,3.06,1.24,115,69.25
58.2,3.61,1.05,119,88.09
55.9,6.98,1.11,98,92.83
62.2,3.03,0.92,64,83.64
51.8,3.96,0.75,38,79.14
43.0,6.29,0.86,100,73.51
57.8,7.15,1.26,80,93.42
59.0,6.91,0.51,68,88.79
54.0,4.35,0.62,112,87.51
59.3,7.27,0.55,40,86.9
52.3,4.42,0.54,74,84.05
53.1,4.95,1.36,31,82.64
50.7,7.48,1.2,72,83.74
40.6,6.9,0.97,35,61.18
42.7,8.1,0.6,41,55.0
40.8,6.95,0.99,41,59.67
55.9,6.41,0.97,88,98.0
47.9,3.56,0.67,97,76.68
52.7,5.21,0.93,83,91.59
62.7,4.59,0.9,117,96.44
46.2,4.46,1.12,64,76.99
50.3,8.84,1.14,56,79.01
58.9,5.36,0.55,108,95.45
45.7,8.35,0.87,50,67.94
41.9,6.79,1.13,117,70.14
47.2,7.77,1.0,31,70.83
44.0,6.02,1.36,117,76.56
63.2,6.46,1.16,34,89.68
60.2,5.96,0.66,110,93.64
55.8,4.17,0.57,77,83.9
61.8,7.33,1.14,119,93.71
60.1,4.68,0.53,37,88.04
44.7,3.15,1.09,80,65.49
62.3,6.87,1.44,117,93.07
53.5,4.06,1.08,77,89.84
